Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
FY,11,1,0.013124779000353599,1.9019305324788354,3.2587340466675263,0.024962417912809558,0.08134588113961583,18.53392444101773,0.0,0.0,44.74668901406386
FY,11,0,0.0,0.0,1.0005742135953934,0.0,-0.004566622072695805,0.0,0.0,0.0,-1.2118512093471723
FY,11,3,0.0,0.0,8.454102257397142,0.0,0.020548629954118134,0.0,0.0,0.0,27.192277002869464
FY,11,3,0.0,0.0,1.2803962858798423,0.0,0.20755543621125824,-0.8333484961516767,1.2538255790680326,-0.6646446763122379,0.8595210818125008
Q4,11,8,0.0,0.0,-0.9508695348487216,0.0,1.117383424147657,0.0,0.3800834156271895,0.0,130.41475653277658
FY,11,2,0.0,0.0,1.6771037878438975,0.0,0.12860191283255806,-3.108342020037675,4.9504502135846655,-0.6278907747638769,12.670303621831502
FY,11,2,0.09858631032369732,0.6997676944881606,2.0944820848958496,0.06898751508330801,0.14449311442347085,4.051103155730923,0.0,0.0,59.3924562100678
FY,11,3,0.0,0.0,9.788802996189345,0.0,0.1058342828171594,0.0,0.0,0.0,16.638879943797384
FY,11,8,0.0,0.0,0.0,0.0,0.0,-1.8648505980222048,1.3451939490671725,-1.3863061154232736,-26.666666666666668
FY,11,2,0.0,0.0,1.303343240474871,0.0,0.23009756015649926,-1.5455361270497376,1.5764011638974247,-0.9804205696147941,37.36000061035156
Q3,12,8,0.0,0.0,2.6969876612954287,0.0,-0.2735384056933114,-1.8022299930211823,1.8373209039183205,-0.9809010441114002,-3.9999961853027344
FY,11,9,0.08574908198475818,1.7209043853799497,1.3809419400105245,0.1475659712298752,0.2037800385897211,1.9495674192867694,0.0,0.0,-24.369745149233673
Q1,12,9,0.0332582801442076,0.42647475020726255,1.7915347326454296,0.014183816716824095,0.02541080028966723,1.996475742580049,0.0,0.0,23.069935595369078
Q3,12,3,0.0,0.0,1.0710217429733073,0.0,-1.3866925932473042,-4.832295593396594,0.0,0.0,-16.666666666666664
Q2,12,9,-0.08539424437241454,0.39506391197533725,1.620109805509761,-0.033736184241944016,-0.054656322890857374,-0.057705612685873126,0.0,0.0,-9.267835006618858
Q3,12,2,0.023823146117415213,1.236990583285824,1.6030779735798513,0.029469007411484855,0.047241116684612755,0.7645894301945257,0.0,0.0,-15.755916342087334
Q2,12,7,0.0670395919077155,0.7622729883787724,1.1746295383178056,0.05110247006318766,0.0600264708172216,0.30636675562333204,0.0,0.0,-22.655299937540722
FY,11,2,0.029306213816086498,0.8167996802870555,2.1622354333015625,0.02393730607540354,0.051758091374022305,0.38874715223085915,0.0,0.0,-3.0088508570704695
FY,11,11,0.0,0.0,6.953547740804472,0.0,0.10720912133868679,0.0,0.0,0.0,16.557724789409047
Q1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.132231404958674
FY,11,2,0.3598257041054853,0.37844082004242785,5.781755884397656,0.13617273453402387,0.7873175091866124,3.3038046564452017,12.142646223736513,0.27208275655654907,7.0853485886608825
FY,11,1,0.0,0.0,1.5974414517332722,0.0,-2.241342110672168,-6.725566426879159,4.568338286413596,-1.4722128715557774,-45.6
FY,12,7,0.03536973869786011,2.294933973092872,2.711996073757274,0.0811712149571368,0.2201360162658627,-14.843276450511945,-61.01706484641638,0.24326434724242085,22.636893376629153
Q1,12,4,0.0,0.0,1.4409940406386292,0.0,-0.04337299596290068,-0.11555244711275331,0.06986771470262504,-1.6538747203135846,147.05880537990106
Q4,11,2,0.027994511895692357,2.1762226145501526,2.6790903976546088,0.06092228987069897,0.16321632179572024,0.9618154500949876,0.0,0.0,-0.26723270714663483
Q3,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.66666666666667
